# source: derived from data/processed/wtw_agg_2017_2024.csv (CEPII BACI HS17 V202601, Etalab 2.0),
#         data/processed/wdi_gdp_1995_2024.csv (World Bank WDI NY.GDP.MKTP.CD),
#         data/processed/us_import_shares.csv (US Census FT900 country workbook)
# built: 2026-07-30
# script: analysis/21_actuals_metrics.py
# schema: block,metric,period,entity,value,unit  (tidy long; period = year or window '2018->2024')
# units: busd = billions of current USD; pct = percent; pp = percentage points; hhi on 0-10,000 scale
# conventions: trade share=(exp+imp)/(2*world); ASEAN10 gross incl. intra-bloc; betweenness on directed
#   graph with distance=1/value (Dijkstra, normalized); gravity = per-year OLS ln(v_ij)~ln(gdp_i)+ln(gdp_j)
#   (numpy lstsq, no distance term -- DESCRIPTIVE residual, not the published model); WDI-missing
#   economies (TWN, PRK, ...) excluded from GDP-based blocks -- TWN is the only top-15 trader affected
# note: BACI mirror-consistent FOB values; levels differ from US Census customs-basis imports by ~1pp
#   of share -- the (MEX+ASEAN10)-CHN gap is computed on BOTH bases in block 'us_import_gap'
# caveat: countries with betweenness exactly 0 form a tie group (rank = first tied rank, method='min');
#   MEX and VNM are 0 in BOTH 2018 and 2024 (they lie on no weighted shortest paths) -- their
#   'betweenness_rank_shift' rows are tie artifacts, not real movement; see world-block
#   'betweenness_nonzero_countries' for the size of the ranked (nonzero) set
block,metric,period,entity,value,unit
corridor,value_busd,2023,CHN->USA,440.686870463,busd
corridor,share_world_pct,2023,CHN->USA,1.9212222045902105,pct
corridor,share_dest_imports_pct,2023,CHN->USA,14.802740958619593,pct
corridor,value_busd,2024,CHN->USA,453.299418249,busd
corridor,share_world_pct,2024,CHN->USA,1.9830037413779806,pct
corridor,share_dest_imports_pct,2024,CHN->USA,14.508947831767607,pct
corridor,rank_among_dyads,2017,CHN->USA,1.0,rank
corridor,rank_among_dyads,2018,CHN->USA,1.0,rank
corridor,rank_among_dyads,2019,CHN->USA,1.0,rank
corridor,rank_among_dyads,2020,CHN->USA,1.0,rank
corridor,rank_among_dyads,2021,CHN->USA,1.0,rank
corridor,rank_among_dyads,2022,CHN->USA,1.0,rank
corridor,rank_among_dyads,2023,CHN->USA,2.0,rank
corridor,rank_among_dyads,2024,CHN->USA,2.0,rank
corridor,value_growth_pct,2018->2024,CHN->USA,-14.891086335662141,pct
corridor,dest_share_change_pp,2018->2024,CHN->USA,-7.021340263419283,pp
corridor,value_growth_pct,2021->2024,CHN->USA,-14.782418940669995,pct
corridor,dest_share_change_pp,2021->2024,CHN->USA,-4.66999171475527,pp
corridor,value_busd,2017,CHN->MEX,35.877770703,busd
corridor,share_world_pct,2017,CHN->MEX,0.21061339441349683,pct
corridor,share_dest_imports_pct,2017,CHN->MEX,9.742801974321585,pct
corridor,value_busd,2018,CHN->MEX,43.974339829,busd
corridor,share_world_pct,2018,CHN->MEX,0.23095464709498104,pct
corridor,share_dest_imports_pct,2018,CHN->MEX,10.771680142284199,pct
corridor,value_busd,2019,CHN->MEX,46.221557666,busd
corridor,share_world_pct,2019,CHN->MEX,0.24979553247888603,pct
corridor,share_dest_imports_pct,2019,CHN->MEX,11.610529777248022,pct
corridor,value_busd,2020,CHN->MEX,44.523678165,busd
corridor,share_world_pct,2020,CHN->MEX,0.25945116547781255,pct
corridor,share_dest_imports_pct,2020,CHN->MEX,13.199273935359319,pct
corridor,value_busd,2021,CHN->MEX,84.329886023,busd
corridor,share_world_pct,2021,CHN->MEX,0.3916583419687312,pct
corridor,share_dest_imports_pct,2021,CHN->MEX,18.35729487935978,pct
corridor,value_busd,2022,CHN->MEX,94.78776597,busd
corridor,share_world_pct,2022,CHN->MEX,0.3919426570695675,pct
corridor,share_dest_imports_pct,2022,CHN->MEX,17.86587997177702,pct
corridor,value_busd,2023,CHN->MEX,96.128338016,busd
corridor,share_world_pct,2023,CHN->MEX,0.41908191476786577,pct
corridor,share_dest_imports_pct,2023,CHN->MEX,17.486017549656054,pct
corridor,value_busd,2024,CHN->MEX,105.858985907,busd
corridor,share_world_pct,2024,CHN->MEX,0.4630907445743739,pct
corridor,share_dest_imports_pct,2024,CHN->MEX,18.886201374931158,pct
corridor,rank_among_dyads,2017,CHN->MEX,86.0,rank
corridor,rank_among_dyads,2018,CHN->MEX,75.0,rank
corridor,rank_among_dyads,2019,CHN->MEX,71.0,rank
corridor,rank_among_dyads,2020,CHN->MEX,69.0,rank
corridor,rank_among_dyads,2021,CHN->MEX,30.0,rank
corridor,rank_among_dyads,2022,CHN->MEX,28.0,rank
corridor,rank_among_dyads,2023,CHN->MEX,29.0,rank
corridor,rank_among_dyads,2024,CHN->MEX,23.0,rank
corridor,value_growth_pct,2018->2024,CHN->MEX,140.72899404208584,pct
corridor,dest_share_change_pp,2018->2024,CHN->MEX,8.11452123264696,pp
corridor,value_growth_pct,2021->2024,CHN->MEX,25.52962051689265,pct
corridor,dest_share_change_pp,2021->2024,CHN->MEX,0.5289064955713769,pp
corridor,value_busd,2017,CHN->VNM,70.900331495,busd
corridor,share_world_pct,2017,CHN->VNM,0.41620644729622197,pct
corridor,share_dest_imports_pct,2017,CHN->VNM,32.608987019619484,pct
corridor,value_busd,2018,CHN->VNM,73.281528218,busd
corridor,share_world_pct,2018,CHN->VNM,0.3848769430987035,pct
corridor,share_dest_imports_pct,2018,CHN->VNM,29.36286774393014,pct
corridor,value_busd,2019,CHN->VNM,85.618114568,busd
corridor,share_world_pct,2019,CHN->VNM,0.4627066589338216,pct
corridor,share_dest_imports_pct,2019,CHN->VNM,32.324102269517475,pct
corridor,value_busd,2020,CHN->VNM,97.415732494,busd
corridor,share_world_pct,2020,CHN->VNM,0.5676670565665768,pct
corridor,share_dest_imports_pct,2020,CHN->VNM,36.207870379333485,pct
corridor,value_busd,2021,CHN->VNM,118.082281723,busd
corridor,share_world_pct,2021,CHN->VNM,0.5484166154677502,pct
corridor,share_dest_imports_pct,2021,CHN->VNM,35.90764785251874,pct
corridor,value_busd,2022,CHN->VNM,126.45336648,busd
corridor,share_world_pct,2022,CHN->VNM,0.5228783266107287,pct
corridor,share_dest_imports_pct,2022,CHN->VNM,35.68596157342769,pct
corridor,value_busd,2023,CHN->VNM,119.150577449,busd
corridor,share_world_pct,2023,CHN->VNM,0.5194498643543863,pct
corridor,share_dest_imports_pct,2023,CHN->VNM,36.81184665545003,pct
corridor,value_busd,2024,CHN->VNM,158.76908934,busd
corridor,share_world_pct,2024,CHN->VNM,0.6945512954606343,pct
corridor,share_dest_imports_pct,2024,CHN->VNM,42.13339597268519,pct
corridor,rank_among_dyads,2017,CHN->VNM,25.0,rank
corridor,rank_among_dyads,2018,CHN->VNM,28.0,rank
corridor,rank_among_dyads,2019,CHN->VNM,22.0,rank
corridor,rank_among_dyads,2020,CHN->VNM,19.0,rank
corridor,rank_among_dyads,2021,CHN->VNM,19.0,rank
corridor,rank_among_dyads,2022,CHN->VNM,17.0,rank
corridor,rank_among_dyads,2023,CHN->VNM,18.0,rank
corridor,rank_among_dyads,2024,CHN->VNM,9.0,rank
corridor,value_growth_pct,2018->2024,CHN->VNM,116.65635693034284,pct
corridor,dest_share_change_pp,2018->2024,CHN->VNM,12.770528228755055,pp
corridor,value_growth_pct,2021->2024,CHN->VNM,34.45631895261305,pct
corridor,dest_share_change_pp,2021->2024,CHN->VNM,6.22574812016645,pp
corridor,value_busd,2017,CHN->THA,41.454609448,busd
corridor,share_world_pct,2017,CHN->THA,0.2433511290933983,pct
corridor,share_dest_imports_pct,2017,CHN->THA,19.307316907765664,pct
corridor,value_busd,2018,CHN->THA,49.486678355,busd
corridor,share_world_pct,2018,CHN->THA,0.25990562632266284,pct
corridor,share_dest_imports_pct,2018,CHN->THA,20.275895266668837,pct
corridor,value_busd,2019,CHN->THA,50.519577512,busd
corridor,share_world_pct,2019,CHN->THA,0.2730233553877218,pct
corridor,share_dest_imports_pct,2019,CHN->THA,22.306302238174794,pct
corridor,value_busd,2020,CHN->THA,52.385567363,busd
corridor,share_world_pct,2020,CHN->THA,0.30526445852425255,pct
corridor,share_dest_imports_pct,2020,CHN->THA,26.149130852367197,pct
corridor,value_busd,2021,CHN->THA,69.385077998,busd
corridor,share_world_pct,2021,CHN->THA,0.32224927469552184,pct
corridor,share_dest_imports_pct,2021,CHN->THA,26.807841516764384,pct
corridor,value_busd,2022,CHN->THA,75.445516112,busd
corridor,share_world_pct,2022,CHN->THA,0.3119634242490856,pct
corridor,share_dest_imports_pct,2022,CHN->THA,25.595815018562046,pct
corridor,value_busd,2023,CHN->THA,73.806730577,busd
corridor,share_world_pct,2023,CHN->THA,0.3217684463432297,pct
corridor,share_dest_imports_pct,2023,CHN->THA,26.980611246848852,pct
corridor,value_busd,2024,CHN->THA,83.809834989,busd
corridor,share_world_pct,2024,CHN->THA,0.36663452379761535,pct
corridor,share_dest_imports_pct,2024,CHN->THA,28.696545277823887,pct
