# source: IMF WEO via DataMapper API v1, indicator NGDPD (GDP current prices, billions USD); WEO vintage per indicator metadata: World Economic Outlook (April 2026)
# pulled: 2026-07-30
# script: analysis/02_pull_weo.py
# units: billions of current US dollars; years >= ~2025 are IMF projections; codes include aggregates (WEOWORLD etc.)
economy_code,year,ngdpd_bn_usd
COD,2022,70.422
COD,2023,69.844
COD,2024,76.731
COD,2025,92.833
COD,2026,123.406
COD,2027,132.555
COD,2028,142.352
COG,2020,11.485
COG,2021,13.387
COG,2022,13.967
COG,2023,14.169
COG,2024,14.774
COG,2025,15.592
COG,2026,17.028
COG,2027,17.958
COG,2028,19.119
COL,2020,270.348
COL,2021,318.525
COL,2022,345.632
COL,2023,366.901
COL,2024,420.504
COL,2025,457.41
COL,2026,539.53
COL,2027,554.384
COL,2028,578.238
COM,2020,1.218
COM,2021,1.273
COM,2022,1.224
COM,2023,1.329
COM,2024,1.442
COM,2025,1.609
COM,2026,1.814
COM,2027,1.93
COM,2028,2.048
CPV,2020,1.829
CPV,2021,2.053
CPV,2022,2.252
CPV,2023,2.501
CPV,2024,2.726
CPV,2025,3.081
CPV,2026,3.448
CPV,2027,3.699
CPV,2028,3.963
CRI,2020,62.792
CRI,2021,65.582
CRI,2022,70.993
CRI,2023,87.524
CRI,2024,96.73
CRI,2025,102.902
CRI,2026,109.931
CRI,2027,116.204
CRI,2028,122.751
CYP,2020,25.535
CYP,2021,30.392
CYP,2022,31.243
CYP,2023,35.085
CYP,2024,37.623
CYP,2025,41.019
CYP,2026,45.171
CYP,2027,47.359
CYP,2028,49.816
CZE,2020,251.11
CZE,2021,290.973
CZE,2022,301.831
CZE,2023,345.059
CZE,2024,347.083
CZE,2025,389.02
CZE,2026,432.597
CZE,2027,451.1
CZE,2028,469.574
DA,2020,21015.807
DA,2021,24826.719
DA,2022,25411.88
DA,2023,25815.593
DA,2024,26800.139
DA,2025,27879.612
DA,2026,29611.563
DA,2027,31398.175
DA,2028,33543.814
DEU,2020,3938.244
DEU,2021,4358.147
DEU,2022,4204.327
DEU,2023,4563.523
DEU,2024,4684.182
DEU,2025,5048.059
DEU,2026,5452.858
DEU,2027,5642.156
DEU,2028,5818.884
DJI,2020,3.144
DJI,2021,3.393
DJI,2022,3.563
DJI,2023,3.898
DJI,2024,4.152
DJI,2025,4.378
DJI,2026,4.725
DJI,2027,5.064
DJI,2028,5.393
DMA,2020,0.504
DMA,2021,0.555
DMA,2022,0.607
DMA,2023,0.659
DMA,2024,0.689
DMA,2025,0.744
DMA,2026,0.791
DMA,2027,0.832
DMA,2028,0.873
DNK,2020,355.631
DNK,2021,406.11
DNK,2022,400.115
DNK,2023,404.652
DNK,2024,424.525
DNK,2025,461.718
DNK,2026,503.772
DNK,2027,525.228
DNK,2028,546.484
DOM,2020,78.625
DOM,2021,95.067
DOM,2022,113.813
DOM,2023,120.794
DOM,2024,124.613
DOM,2025,127.895
DOM,2026,136.148
DOM,2027,144.243
DOM,2028,154.411
DZA,2020,164.774
DZA,2021,185.85
DZA,2022,225.709
DZA,2023,248.087
DZA,2024,269.14
DZA,2025,285.724
DZA,2026,317.173
DZA,2027,319.16
DZA,2028,319.479
EAQ,2020,23078.958
EAQ,2021,26512.958
EAQ,2022,25726.56
EAQ,2023,25755.055
EAQ,2024,26244.168
EAQ,2025,27306.514
EAQ,2026,28617.16
EAQ,2027,30038.119
EAQ,2028,31716.008
ECU,2020,95.865
ECU,2021,107.179
ECU,2022,116.133
ECU,2023,120.793
ECU,2024,123.802
ECU,2025,130.321
ECU,2026,138.194
ECU,2027,144.135
ECU,2028,150.136
EDE,2020,3579.535
EDE,2021,4232.835
EDE,2022,4780.995
EDE,2023,4998.365
EDE,2024,5538.473
EDE,2025,6425.707
EDE,2026,6760.161
EDE,2027,6758.202
EDE,2028,7037.017
EEQ,2020,3504.57
EEQ,2021,4164.916
EEQ,2022,4633.479
EEQ,2023,4735.101
EEQ,2024,5108.854
EEQ,2025,5866.623
EEQ,2026,6270.034
EEQ,2027,6334.079
EEQ,2028,6561.097
EGY,2020,382.525
EGY,2021,423.3
EGY,2022,475.231
EGY,2023,393.828
EGY,2024,383.105
EGY,2025,364.64
EGY,2026,429.645
EGY,2027,457.075
EGY,2028,508.47
ESP,2020,1288.751
ESP,2021,1462.216
ESP,2022,1449.99
ESP,2023,1619.949
ESP,2024,1725.152
ESP,2025,1903.826
ESP,2026,2091.222
ESP,2027,2186.521
ESP,2028,2284.752
EST,2020,31.795
EST,2021,37.226
EST,2022,38.257
EST,2023,41.482
EST,2024,43.117
EST,2025,47.004
EST,2026,51.634
EST,2027,54.2
EST,2028,57.062
ETH,2020,96.611
ETH,2021,99.261
ETH,2022,118.958
ETH,2023,159.761
ETH,2024,142.073
ETH,2025,109.109
ETH,2026,121.527
ETH,2027,140.912
ETH,2028,160.907
EU,2020,15493.881
EU,2021,17505.513
EU,2022,17036.312
EU,2023,18669.275
EU,2024,19499.035
EU,2025,21231.574
EU,2026,23034.637
EU,2027,23839.332
EU,2028,24703.737
EUQ,2020,21216.634
EUQ,2021,24339.778
EUQ,2022,24424.102
EUQ,2023,26028.485
EUQ,2024,27359.117
EUQ,2025,29968.748
EUQ,2026,32325.968
EUQ,2027,33296.198
EUQ,2028,34477.409
EURO,2020,13327.499
EURO,2021,15018.994
EURO,2022,14589.889
EURO,2023,15962.495
EURO,2024,16597.893
EURO,2025,17997.892
EURO,2026,19447.788
EURO,2027,20084.132
EURO,2028,20755.721
FIN,2020,269.784
FIN,2021,294.419
FIN,2022,280.474
FIN,2023,295.277
FIN,2024,298.639
FIN,2025,316.86
FIN,2026,337.669
FIN,2027,350.306
FIN,2028,361.677
FJI,2020,4.228
FJI,2021,4.159
FJI,2022,4.978
FJI,2023,5.477
FJI,2024,5.968
FJI,2025,6.041
FJI,2026,6.352
FJI,2027,6.663
FJI,2028,7.013
FRA,2020,2645.806
FRA,2021,2968.405
FRA,2022,2796.987
FRA,2023,3061.095
FRA,2024,3161.042
FRA,2025,3368.925
FRA,2026,3596.094
FRA,2027,3672.073
FRA,2028,3775.707
FSM,2020,0.373
FSM,2021,0.392
FSM,2022,0.415
FSM,2023,0.443
FSM,2024,0.481
FSM,2025,0.502
FSM,2026,0.521
FSM,2027,0.548
FSM,2028,0.565
GAB,2020,15.364
GAB,2021,19.455
GAB,2022,20.485
GAB,2023,20.059
GAB,2024,20.9
GAB,2025,21.624
GAB,2026,23.363
GAB,2027,24.185
GAB,2028,25.231
GBR,2020,2725.948
GBR,2021,3195.327
GBR,2022,3192.851
GBR,2023,3422.072
GBR,2024,3695.355
GBR,2025,4003.022
GBR,2026,4264.794
GBR,2027,4466.076
GBR,2028,4675.048
GEO,2020,16.013
GEO,2021,18.849
GEO,2022,24.985
GEO,2023,30.778
GEO,2024,34.191
GEO,2025,38.216
GEO,2026,42.716
GEO,2027,46.7
GEO,2028,51.138
GHA,2020,70.008
GHA,2021,79.514
